il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
112,AA0112/2021,17197,AZALEA AISYAH BINTI AZAHARI,Mitavite Asia Sdn Bhd,"75-77,Jalan Industri 4/2, Kawasan Perindustrian Gopeng,31600,Gopeng,Kampar,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
113,AA0113/2021,17198,SIM TIANG TATT,Parit Buntar Pharmacy Sdn Bhd,"No.207,Jalan Taiping,34200,Parit Buntar,Kerian,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
114,AA0114/2021,17199,KONG PEI XIN,EZY PILLS PHARMACY,"36 & 36A,Persiaran Rapat Baru 20 Taman Song Choon,31350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
115,AA0115/2021,17200,LEE YEN,FARMASI SITIAWAN SDN BHD,"188,Taman Sitiawan Maju,32000,Sitiawan,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
116,AA0116/2021,17201,YOW HUAI CHEING,IPOH SPECIALIST HOSPITAL SDN BHD,"No.26,Jalan Raja Dihilir,30350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
117,AA0117/2021,17202,KOAY ZHONG YING,FARMASI ISIHAT SDN. BHD.,"No 2280, Taman Samudera,Jalan Dato Yu Neh Huat,32040,Seri Manjung,Manjung,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
118,AA0118/2021,17203,MARDHIAH BINTI MUHSIN,Farmasi Najwa [Farmasi Najwa],"No 5,Jalan Asuhan, Pusat Perniagaan Setia Jaya, Taman Setia Jaya,34200,Parit Buntar,Kerian,Perak",16/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
119,AA0119/2021,17204,KAM CHIN WOON,AEON CO.(M) BERHAD [AEON WELLNESS],"Lot G32, Ground Floor, Kinta City Shopping Centre,Jalan Teh Lean Swee,31400,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
120,AA0120/2021,17205,VANITHA A/P SIVARAJAN,IPOH SPECIALIST HOSPITAL SDN BHD,"No.26,Jalan Raja Di Hilir,30350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
121,AA0121/2021,17206,CHEONG JIA XIN,IPOH SPECIALIST HOSPITAL SDN BHD,"No.26,Jalan Raja Dihilir,30350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
122,AA0122/2021,17207,CHEW JIN YEW,IPOH SPECIALIST HOSPITAL SDN BHD,"No.26,Jalan Raja Dihilir,30350,Ipoh,Kinta,Perak",16/11/2020,1/1/2021,31/12/2021,,Runcit
123,AA0123/2021,17208,LEE MEI TENG,Good Life Pharmacy,"103,Jalan Besar,31100,Sungai Siput,Kuala Kangsar,Perak",17/11/2020,1/1/2021,31/12/2021,,Runcit
124,AA0124/2021,17209,KEH GHEE SING,K PHARMACY,"28,Jalan Pasar,30000,Ipoh,Kinta,Perak",17/11/2020,1/1/2021,31/12/2021,,Runcit
125,AA0125/2021,17210,KHONG TUCK CHEE,REMEDY PHARMACY,"300,Jalan Bercham, Taman Medan Bercham,31400,Ipoh,Kinta,Perak",17/11/2020,1/1/2021,31/12/2021,,Runcit
126,AA0126/2021,17211,ANUAR BIN TAIB,BG Farmasi (M) SDN BHD,"108,Jalan Besar,31000,Batu Gajah,Kinta,Perak",17/11/2020,1/1/2021,31/12/2021,,Runcit
127,AA0127/2021,17213,MURSHIDAH BINTI MD ALI,KROH HEALTHCARE [FARMASI KROH],"27,Jalan Iskandar,33100,Pengkalan Hulu,Hulu Perak,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
128,AA0128/2021,17214,TEE KOK LIANG,HOSPITAL FATIMAH,"1,Lebuh Chew Peng Loon, Off Jalan Dato' Lau Pak Khuan, Taman Ipoh,31400,Ipoh,Kinta,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
129,AA0129/2021,17215,YEONG HUI WEI,Hovid Berhad,"Lot 56442, Batu 7 1/2,Jalan Ipoh-Chemor,31200,Chemor,Kinta,Perak",19/11/2020,1/1/2021,31/12/2021,,Borong
130,AA0130/2021,17216,SHU PEK YEE,HOSPITAL FATIMAH,"1,Lebuh Chew Peng Loon, Off Jalan Dato' Lau Pak Khuan, Taman Ipoh,31400,Ipoh,Kinta,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
131,AA0131/2021,17217,TEH BEE YEE,Yee Hong Pharmacy Sdn. Bhd.,"6 & 8,Lintasan Pasar Baru,30300,Ipoh,Kinta,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
132,AA0132/2021,17218,WONG TOON LEE,K.H.HOE FARMASIUTIKA (PERAK) SDN. BHD.,"59A,Jalan Raja,36000,Teluk Intan,Hilir Perak,Perak",19/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
133,AA0133/2021,17219,NOR SYAFIQAH BINTI KAMARUDDIN,Farmasi Ahmad Sdn Bhd,"No.8, PT2324, Ground Floor,Jalan Persatuan,35500,Bidor,Batang Padang,Perak",19/11/2020,1/1/2021,31/12/2021,2/6/2021,Runcit
134,AA0134/2021,17220,CHONG SUN NEE,RMS PHARMACY SDN BHD,"256,Jalan Intan 10, Bandar Baru Teluk Intan,36000,Teluk Intan,Hilir Perak,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
135,AA0135/2021,17221,TENG THIEN WUN,KAMPAR MEDICAL SUPPLIES (M) SDN BHD,"No.38G,Jalan Panggung Wayang,35500,Bidor,Batang Padang,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
136,AA0136/2021,17222,ABDULLAH BIN HAJI HASSAN,Farmasi Selama,"Lot 366,Jalan Besar,34100,Selama,Larut, Matang & Selama,Perak",19/11/2020,1/1/2021,31/12/2021,,Runcit
137,AA0137/2021,17223,CHONG CHUI YIN,HTM PHARMACY (TELUK INTAN) SDN BHD,"NO 21-G,Jalan Intan 2, Bandar Baru,36000,Teluk Intan,Hilir Perak,Perak",19/11/2020,1/1/2021,31/12/2021,16/04/2021,Runcit
138,AA0138/2021,17224,CHAN SIEW WENG,VET-VISIONS (M) SDN. BHD.,"7,Persiaran Bercham Utara 1, Kawasan Perindustrian Pinggir Bercham,31400,Ipoh,Kinta,Perak",19/11/2020,1/1/2021,31/12/2021,,Borong
139,AA0139/2021,17225,HASHIM BIN ALIAS,HASHIM RX CENTRE [FARMASI HASHIM ],"34, JALAN BARU, BATU LIMA,Jalan Baru,34200,Parit Buntar,Kerian,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
140,AA0140/2021,17226,LIM PHUI YEE,FARMASI FMB SDN BHD [FARMASI MENGLEMBU BARU],"55 & 57,Persiaran Kledang Timur 21, Bandar Baru Menglembu,31450,Ipoh,Kinta,Perak",20/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
141,AA0141/2021,17227,MURNI BINTI IBRAHIM,FARMASI PERPADUAN UTARA SDN BHD,"NO 4,Persiaran Perpaduan Utara 1, Taman Bercham Raya,31150,Ulu Kinta,Kinta,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
142,AA0142/2021,17228,LEE WEI CHUAN,I-HEALTH PHARMACY (SG. SIPUT) SDN BHD,"NO 92,Jalan Besar,31100,Sungai Siput,Kuala Kangsar,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
143,AA0143/2021,17229,TING TZE LEONG,Farmasi Hing Sdn Bhd,"2458,Taman Samudera,32040,Seri Manjung,Manjung,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
144,AA0144/2021,17230,WONG KEE KWANG,E Farmasi,"AG 51-53, Ground Floor, Pengkalan Emas Mall,Jalan Pasir Puteh,31650,Ipoh,Kinta,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
145,AA0145/2021,17231,NOR LIYANA BINTI MOHAMAD NOR,FARMASI HAKIM,"6, Kedai PKNP Simpang 4,Bangunan PKNP,36800,Kampung Gajah,Perak Tengah,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
146,AA0146/2021,17232,PRABANANTHAN A/L LOGANATHAN,Farmasi Harmoni Shifa Sdn Bhd,"No. 19,Jalan Medan Kamunting 1, Medan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",20/11/2020,1/1/2021,31/12/2021,,Runcit
147,AA0147/2021,17233,NURUL IMAN BINTI ABDUL RAHIM,FARMASI NAJWA,"NO. 7,Jalan Besar,34350,Kuala Kurau,Kerian,Perak",23/11/2020,1/1/2021,31/12/2021,,Runcit
148,AA0148/2021,17234,SAADAH MASTURA BINTI ZAMRI,SRIKANDI SAADAH ENTERPRISE [FARMASI SAADAH],"46,Jalan MKJ 2, Medan Kamunting Jaya,34600,Kamunting,Larut, Matang & Selama,Perak",23/11/2020,1/1/2021,31/12/2021,,Runcit
149,AA0149/2021,17235,CHUNG SUE SAEN,Hooit Mart Sdn Bhd,"25,Jalan Kilang 2, Kawasan Perindustrian Jelapang,30100,Ipoh,Kinta,Perak",23/11/2020,1/1/2021,31/12/2021,18/03/2021,Borong
150,AA0150/2021,17236,PREVEN KUMAR A/L SUPRAMANIAM,BIOCARE MANUFACTURING SDN BHD,"LOT 269,Taman Farmaseutikal, Bandar Baru Seri Iskandar,32610,Seri Iskandar,Perak Tengah,Perak",23/11/2020,1/1/2021,31/12/2021,,Borong
151,AA0151/2021,17237,AHMAD LUKMANUL HAKIM BIN MUHAMMAD,MUAZAKEF PHARMA HEALTH [FARMASI CHANGKAT LADA],"No. 4 Medan Koperasi, Jalan Melati,Felcra Seberang Perak,36800,Kampung Gajah,Perak Tengah,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
152,AA0152/2021,17238,YAP WAI SZE,Caribbean Healthcare Sdn Bhd [Farmasi Ipoh Garden],"133G & 135,Jalan Dato Lau Pak Khuan, Taman Ipoh,31400,Ipoh,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
153,AA0153/2021,17239,YAP TAH WAI,JPP PENGKALAN PHARMACY SDN BHD [HTM PHARMACY],"99,Jalan Pengkalan Barat, Taman Kar King,31650,Ipoh,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
154,AA0154/2021,17240,ILI AJLAA BINTI MOHAMAD SAAD,OPTIMA HEALTHCARE ENTERPRISE [FARMASI PADANG RENGAS],"NO 13, TGKT BAWAH PERSIARAN RENGAS JAYA,Taman Rengas Jaya,33700,Padang Rengas,Kuala Kangsar,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
155,AA0155/2021,17241,NOR DEYANA BINTI AHMAD,AFIFAH ASMAIN ENTERPRISE [FARMASI LUQMAN],"No 5, Tingkat Bawah,Lorong KM2, Taman Kamunting Mutiara,34600,Kamunting,Larut, Matang & Selama,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
156,AA0156/2021,17242,CHOONG YUNN ER,The Perak Chinese Maternity Association [Perak Community Specialist Hospital],"No.277,Jalan Raja Permaisuri Bainun,30250,Ipoh,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
157,AA0157/2021,17243,CHUA ANE MENG,HOVID PHARMACY SDN BHD,"No.29,Jalan Yang Kalsom,30250,Ipoh,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
158,AA0158/2021,17244,SAIFUL ASWAT BIN AHMAD,ASWAT PHARMACY MANAGEMENT & RETAIL CONSULTANCY SDN BHD (FARMASI SIMPANG PULAI),"No.25,Persiaran Sengat Baru 2, Taman Bersatu,31300,Simpang Pulai,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
159,AA0159/2021,17245,NAJWA BINTI MOHD PAHARI,FARMASI NAJWA,"No.12,Jalan Bendahara, Pusat Bandar Parit Buntar,34200,Parit Buntar,Kerian,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
160,AA0160/2021,17246,LAM SOKE WEI,Farmasi Lawan Kuda,"381A,Lawan Kuda Baru,31600,Gopeng,Kampar,Perak",25/11/2020,6/1/2021,31/12/2021,,Runcit
161,AA0161/2021,17247,WONG TZER CHORNG,Hovid Berhad,"Lot 56442, Batu 7 1/2,Jalan Ipoh-Chemor,31200,Chemor,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,24/12/2020,Borong
162,AA0162/2021,17248,PHOO KAI YING,JPP PENGKALAN PHARMACY SDN BHD [HTM PHARMACY],"99,Jalan Pengkalan Barat, Taman Kar King,31650,Ipoh,Kinta,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
163,AA0163/2021,17249,MOHD HAZIM BIN CHE HASAN,FARMASI DE PARIT,"NO 4A,Jalan Dua, Taman Parit Wira,32800,Parit,Perak Tengah,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
164,AA0164/2021,17250,ASHA A/P PUSPARAJAN,ALPRO ALLIANCE SDN BHD [FARMASI ALPRO],"NO.15,Jalan Medan Kamunting 1, Medan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
165,AA0165/2021,17251,MUHAMMAD NOOR BIN ABDUL RAHMAN,FARMASI KAMUNTING,"55,Jalan Medan Kamunting 1, Medan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",25/11/2020,1/1/2021,31/12/2021,,Runcit
166,AA0166/2021,17258,TAN SIOW JEAN,Multicare Health Pharmacy Sdn Bhd [Farmasi Multicare],"No 4,Jalan Bunga Raya, Taman Bunga Raya,35900,Tanjung Malim,Muallim,Perak",27/11/2020,1/1/2021,31/12/2021,,Runcit
167,AA0167/2021,17253,SENG CZE LOON,Multicare Health Pharmacy Sdn Bhd [Farmasi Multicare],"616,Jalan Ahmad Boestaman,35800,Slim River,Muallim,Perak",27/11/2020,1/1/2021,31/12/2021,,Runcit
168,AA0168/2021,17254,SERENA CH'NG MEI CHING,Columbia Asia Sdn Bhd [Columbia Asia Hospital],"No.5,Jalan Perwira,34000,Taiping,Larut, Matang & Selama,Perak",27/11/2020,1/1/2021,31/12/2021,,Runcit
169,AA0169/2021,17255,CHOOK KAR YEN,HTM PHARMACY (TELUK INTAN) SDN BHD,"NO 21-G,Jalan Intan 2, Bandar Baru,36000,Teluk Intan,Hilir Perak,Perak",30/11/2020,1/1/2021,31/12/2021,16/04/2021,Runcit
170,AA0170/2021,17256,KHOR CHIEW ANG,FAIR PARK PHARMACY SDN BHD,"NO 2-9, PUSAT PERDAGANGAN KEPAYANG,Jalan Kamaruddin Isa,31400,Ipoh,Kinta,Perak",30/11/2020,1/1/2021,31/12/2021,,Runcit
171,AA0171/2021,17257,LAU GEE JING,Farmasi Manjung Kasih Sdn Bhd,"81, Pusat Perniagaan Manjung,Jalan Lumut,32040,Seri Manjung,Manjung,Perak",30/11/2020,1/1/2021,31/12/2021,,Runcit
172,AA0172/2021,17298,LIM SEOW YIN,Farmasi Rapat Sdn Bhd,"54,Jalan Besar, Gunung Rapat,31350,Ipoh,Kinta,Perak",3/12/2020,1/1/2021,31/12/2021,9/2/2021,Runcit
173,AA0173/2021,17260,CHAI PEG KEE,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"45,Jalan Bunga Raya,35900,Tanjung Malim,Muallim,Perak",3/12/2020,1/1/2021,31/12/2021,16/06/2021,Runcit
174,AA0174/2021,17261,TIE SIEW HUI,GUNUNG RAPAT PHARMACY SDN BHD (HTM Pharmacy),"43 & 43A,Selasar Rokam 11, Taman Ipoh Jaya,31350,Ipoh,Kinta,Perak",3/12/2020,1/1/2021,31/12/2021,,Runcit
175,AA0175/2021,17262,NOR HASLINDA BINTI HISHAM,FARMASI BERUAS SDN.BHD [FARMASI ZAMAN],"NO 6,Jalan Besar Bruas,32700,Beruas,Manjung,Perak",3/12/2020,1/1/2021,31/12/2021,,Runcit
176,AA0176/2021,17263,JAMALANI BIN IBRAHIM,Farmasi Permata,"57,Jalan Besar,34100,Selama,Larut, Matang & Selama,Perak",3/12/2020,1/1/2021,31/12/2021,,Runcit
177,AA0177/2021,17264,ROSE ADZREEN BINTI RUSLI,IDAMAN PHARMA MANUFACTURING SDN. BHD.,"LOT. 120,Taman Farmaseutikal, Bandar Baru Seri Iskandar,32610,Seri Iskandar,Perak Tengah,Perak",3/12/2020,1/1/2021,31/12/2021,5/5/2021,Borong
178,AA0178/2021,17265,TAN PEI WEN,ICARE RX (KAMUNTING) SDN BHD,"356 & 358,Jalan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",3/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
179,AA0179/2021,17266,OOI WHUI KOON,JPP PENGKALAN PHARMACY SDN BHD [HTM PHARMACY],"99,Jalan Pengkalan Barat, Taman Kar King,31650,Ipoh,Kinta,Perak",3/12/2020,1/1/2021,31/12/2021,,Runcit
180,AA0180/2021,17267,LAI KWONG KHEE,Farmasi Rapat Sdn Bhd,"54,Jalan Besar, Gunung Rapat,31350,Ipoh,Kinta,Perak",3/12/2020,1/1/2021,31/12/2021,,Runcit
181,AA0181/2021,17268,MOHAMAD NORHISHAM BIN HAZNI,AEON CO.(M) BERHAD [AEON WELLNESS],"Lot G32, Ground Floor, Kinta City Shopping Centre,Jalan Teh Lean Swee,31400,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
182,AA0182/2021,17270,KONG HUI JING,I-Health Pharmacy (Kampar) Sdn Bhd,"87,Jalan Idris,31900,Kampar,Kampar,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
183,AA0183/2021,17271,NOR FATIHA BINTI FADZIL,FARMASI ISIHAT SDN BHD,"No.144,Jalan PPMP 9, Pusat Perniagaan Manjung Point 1,,32040,Seri Manjung,Manjung,Perak",7/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
184,AA0184/2021,17272,MOHAMAD AIZUDDIN BIN MOHAMAD NOOR,Invespharma Rx Sdn Bhd [MobileFarmasi],"150,Jalan Taming Sari,34000,Taiping,Larut, Matang & Selama,Perak",7/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
185,AA0185/2021,17273,WONG WENG MING,I-Health Pharmacy (Kampar) Sdn Bhd,"87,Jalan Idris,31900,Kampar,Kampar,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
186,AA0186/2021,17278,KOK LE FEI,GUNUNG RAPAT PHARMACY SDN BHD (HTM Pharmacy),"43 & 43A,Selasar Rokam 11, Taman Ipoh Jaya,31350,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
187,AA0187/2021,17279,NORZUBAIDAH BINTI ROSDAN,Farmasi Talang,"7,Persiaran Lavender, Taman Lavender,33000,Kuala Kangsar,Kuala Kangsar,Perak",7/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
188,AA0188/2021,17280,CHONG BOON CHEONG,UNICARE PHARMACY,"No33,Market Square,34000,Taiping,Larut, Matang & Selama,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
189,AA0189/2021,17281,TAN SEOH HWA,VISION PHARMACY,"No 69,Jalan Maharaja, Pusat Bandar Baru,34200,Parit Buntar,Kerian,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
190,AA0190/2021,17282,CHEE LEE YIN,Watson's Personal Care Stores Sdn Bhd,"Lot G16 & G17, Ground Floor, AEON Mall Taiping,Jalan Kamunting,34600,Kamunting,Larut, Matang & Selama,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
191,AA0191/2021,17284,KHOMALAVALLY A/P BALASUNDARAM,FARMASI HUTAN MELINTANG SDN BHD [FARMASI BAGAN DATUK],"no.5 TINGKAT BAWAH,Lorong Simpang Tiga 1, Taman Simpang Tiga,36200,Selekoh,Hilir Perak,Perak",7/12/2020,1/1/2021,31/12/2021,21/06/2021,Runcit
192,AA0192/2021,17285,CHAN THEAM LAI,IPOH AGRI FARMING,"16 & 16A,Jalan Lapangan Siber 5, Bandar Cyber Ipoh,31350,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Borong
193,AA0193/2021,17286,LIM GAH BENG,G.B. LIM PHARMACY,"77,Jalan Leong Sin Nam,30300,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
194,AA0194/2021,17287,THINESKUMARAN A/L RAMANCHANDRA,FARMASI HUTAN MELINTANG SDN BHD,"No.4,Taman Sri Perak, Simpang Empat,36400,Hutan Melintang,Hilir Perak,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
195,AA0195/2021,17288,SIMREET KAUR A/P BALJIT SINGH,SRI MANJUNG SPECIALIST CENTRE SDN BHD (PUSAT PAKAR SRI MANJUNG),"LOT 14777,Jalan Lumut,32000,Sitiawan,Manjung,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
196,AA0196/2021,17283,SURAYA BINTI MD. IDRIS,TOTALCARE PHARMACY,"No.6, Ground Floor,,Hala Taman Meru 11, Taman Meru 2B,30020,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
197,AA0197/2021,17289,HONG JEE YAN,BERCHAM PHARMA SDN BHD [HTM PHARMACY],"No.44,Persiaran Bercham Selatan 1, Taman Desa Kencana,31400,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
198,AA0198/2021,17290,YOGESWARI A/P PASSKEREN,SAPPHIRE MEDICAL SUPPLIES SDN BHD,"NO.6,Jalan Besar,31200,Chemor,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
199,AA0199/2021,17291,YUSNITA BINTI RAZALI @ MD YUSOF,Farmasi Sri Iskandar,"22,Jalan PP1, Bandar Universiti Seri Iskandar,32610,Seri Iskandar,Perak Tengah,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
200,AA0200/2021,17292,WONG PUIE YEE,NUTRIHEALTH PHARMACY,"114,Jalan Temenggong,31650,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
201,AA0201/2021,17274,MUHAMMAD ARIFF BIN MOHAMAD HAMIL,Farmasi Ar Ridzuan PLT [FARMASI Ar Ridzuan],"No. 22,Jalan Meru Impian A1, Pusat Perniagaan Meru Impian,30020,Ipoh,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
202,AA0202/2021,17275,WAN ADNIN RUHI BINTI WAN ZAHARUDDIN,ASWAT PHARMACY MANAGEMENT & RETAIL CONSULTANCY SDN BHD (FARMASI SIMPANG PULAI),"No.25,Persiaran Sengat Baru 2, Taman Bersatu,31300,Simpang Pulai,Kinta,Perak",7/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
203,AA0203/2021,17276,ABD JALIL BIN ABDULLAH,Farmasi Lenggong,"A1 Plaza MARA Lenggong,Jalan Besar,33400,Lenggong,Hulu Perak,Perak",7/12/2020,1/1/2021,31/12/2021,,Runcit
204,AA0204/2021,17293,SIEW SEE WEN,MUHIBBAH JAYA PHARMACY SDN BHD,"26,Persiaran Muhibbah Jaya 1, Taman Muhibbah Jaya,31100,Sungai Siput,Kuala Kangsar,Perak",9/12/2020,1/1/2021,31/12/2021,,Runcit
205,AA0205/2021,17294,CHUAH CHONG EE,ICARE PHARMACY,"18,Lorong Tupai,34000,Taiping,Larut, Matang & Selama,Perak",9/12/2020,1/1/2021,31/12/2021,22/02/2021,Borong & Runcit
206,AA0206/2021,17295,FADHLI ZIL IKRAM BIN MOHD FAUZI,Double I Healthcare Group Sdn Bhd (FARMASI BAROKAH CHEMIST),"17,Jalan Cahaya, Taman Anggerik Desa,35900,Tanjung Malim,Muallim,Perak",9/12/2020,1/1/2021,31/12/2021,,Runcit
207,AA0207/2021,17296,PUA BOON SING,I-Health Pharmacy (Kangsar) Sdn. Bhd.,"45,Jalan Kangsar,33000,Kuala Kangsar,Kuala Kangsar,Perak",10/12/2020,1/1/2021,31/12/2021,,Runcit
208,AA0208/2021,17297,KANNESH KUMAR A/L MUTHIAH,ABIOTIDE SDN BHD,"11,Persiaran Perindustrian Kanthan 4, Kawasan Perindustrian Kanthan,31200,Chemor,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,14/07/2021,Borong
209,AA0209/2021,17299,VANITHA A/P RAMACHANDRAN,Nexus Vital Care,"No.9,Jalan Klebang Ria 3, Taman Klebang Ria,31200,Chemor,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,,Runcit
210,AA0210/2021,17300,LEE MUN KEET,Newtown Pharmacy Sdn Bhd,"No.26-5,Jalan Theatre,30300,Ipoh,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,18/01/2021,Runcit
211,AA0211/2021,17301,YIN YEE CHUNG,Greenpharm Pharmacy Sdn Bhd,"No.262,Jalan Raja Dr. Nazrin Shah, Gunung Rapat,31350,Ipoh,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,,Runcit
212,AA0212/2021,17302,KOH BOON CHAI @ CLARRISA,Yee Hong Pharmacy Sdn. Bhd.,"6 & 8,Lintasan Pasar Baru,30300,Ipoh,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
213,AA0213/2021,17306,TAN LAW YONG,Intan Pharmacy [Farmasi Intan],"No 1, Lorong Merbuk 1, Taman Merbuk,,Jalan Sultan Abdullah,36000,Teluk Intan,Hilir Perak,Perak",10/12/2020,1/1/2021,31/12/2021,,Runcit
214,AA0214/2021,17307,KASTUREE A/P KUPUSAMY,Guardian Health and Beauty Sdn Bhd,"LOT A19 & A20 TF VALUE MART, BANDAR SUNWAY IPOH,Jalan SCI 2/2, Sunway City Ipoh,31150,Ipoh,Kinta,Perak",10/12/2020,1/1/2021,31/12/2021,,Runcit
215,AA0215/2021,17308,LOOI POOI LING,JPP PENGKALAN PHARMACY SDN BHD,"99,Jalan Pengkalan Barat,taman Kar King,31650,Ipoh,Kinta,Perak",11/12/2020,1/1/2021,31/12/2021,,Runcit
216,AA0216/2021,17309,MUHAMMAD MAZREE BIN MOHAMED MAHIDIN,FARMASI YAN SDN BHD [FARMASI TG TUALANG],"NO 19,Persiaran Tualang Indah 1, Taman Halaman Tualang Indah,31800,Tanjung Tualang,Kinta,Perak",11/12/2020,1/1/2021,31/12/2021,,Runcit
217,AA0217/2021,17310,CHIN WEI YIM,Quinpharm (M) Sdn Bhd,"50,Jalan Mustapha Al Bakri,30300,Ipoh,Kinta,Perak",11/12/2020,1/1/2021,31/12/2021,,Runcit
218,AA0218/2021,17303,TING KONG HING,Farmasi Hing Sdn Bhd,"No.2 & 3,Off Jalan Tazali, Jalan Lumut,32000,Sitiawan,Manjung,Perak",11/12/2020,1/1/2021,31/12/2021,24/06/2021,Borong & Runcit
219,AA0219/2021,17304,JURIA BINTI SHAMSUDDIN,JH Healthcare,"No.78,Taman Sitiawan Maju,32000,Sitiawan,Manjung,Perak",11/12/2020,1/1/2021,31/12/2021,,Borong & Runcit
220,AA0220/2021,17305,TAN LEE CHUN,FARMASI TRUECARE SDN BHD,"41,Jalan Besar,31200,Chemor,Kinta,Perak",11/12/2020,1/1/2021,31/12/2021,,Runcit
221,AA0221/2021,17311,FUKAIHAH BINTI FIRUZ DALILI,GUNUNG RAPAT PHARMACY SDN BHD (HTM Pharmacy),"43 & 43A,Selasar Rokam 11, Taman Ipoh Jaya,31350,Ipoh,Kinta,Perak",14/12/2020,1/1/2021,31/12/2021,,Runcit
